id,nombre,slug,tier,categoria,descripcion,precio_base,precio_max,duracion_horas,aforo_min,aforo_max,incluye_transporte,incluye_manutension,activa,fecha_alta
1,Visita Clásica Bodegas Muga,visita-clasica-muga,estandar,enoturismo,"Recorrido por las instalaciones de Muga: lagares de madera, barricas, sala de crianza. Cata de 2 vinos (Crianza + Reserva) con guía certificado.",24.99,24.99,2.0,1,25,False,False,True,2022-06-01
2,Paseo por los Viñedos de Ysios,paseo-vinedos-ysios,estandar,enoturismo,Ruta a pie entre los viñedos de Laguardia con vistas a la Sierra de Cantabria. Introducción a la viticultura y finalización con cata de 1 vino.,19.99,19.99,1.5,1,30,False,False,True,2022-06-01
3,Taller Introducción a la Cata,taller-intro-cata,estandar,maridaje,"Aprende a catar vino desde cero: vista, nariz, boca. Incluye 3 vinos riojanos de distintas añadas y ficha de cata personal.",29.99,29.99,2.0,4,20,False,False,True,2022-09-01
4,Experiencia Privada López de Heredia,privada-lopez-heredia,personalizada,enoturismo,"Acceso exclusivo a las galerías subterráneas y cata privada de vinos con guía personal. Grupos desde 2 personas, precio según tamaño y selección de vinos.",75.0,150.0,3.0,2,10,False,False,True,2022-06-15
5,Ruta Personalizada La Rioja Alavesa,ruta-rioja-alavesa,personalizada,combinada,"Diseña tu ruta por las bodegas de La Rioja Alavesa. Elige 2-3 bodegas, maridaje y nivel de experiencia. Transporte incluido para grupos de 4+.",90.0,200.0,6.0,2,12,True,False,True,2022-08-01
6,Cata Maridaje a Medida,cata-maridaje-medida,personalizada,maridaje,Nuestro sommelier diseña una cata de 5-7 vinos maridados con productos gastronómicos riojanos según tus preferencias declaradas.,60.0,120.0,2.5,2,8,False,True,True,2023-01-15
7,Weekend en Hotel Marqués de Riscal,weekend-marques-riscal,premium,spa,"Escapada 2 noches en habitación superior. Acceso ilimitado al Spa Caudalie, desayuno incluido, visita privada a la bodega y cata guiada de 6 vinos con sommelier.",280.0,380.0,48.0,2,6,False,True,True,2022-06-01
8,Cena Maridaje Venta Moncalvillo,cena-venta-moncalvillo,premium,gastronomia,Cena de 7 pases en Venta Moncalvillo (2 estrellas Michelin) con maridaje de vinos riojanos de autor seleccionados por el sumiller. Recogida en Logroño incluida.,195.0,195.0,4.0,2,10,True,True,True,2022-06-01
9,Experiencia 360° Frank Gehry,experiencia-gehry-360,premium,cultural,"Visita arquitectónica al edificio de Frank Gehry, bodega premium, cata de 8 vinos selectos y cena de gala en el restaurante del hotel. Experiencia inmersiva única.",250.0,250.0,5.5,2,8,False,True,True,2022-10-01
10,VIP Harvest — Vendimia en Rioja,vip-harvest-vendimia,premium,aventura,"Participa activamente en la vendimia con viticultores locales. Pisado tradicional de uva, elaboración de tu propio vino y botella personalizada. Solo disponible septiembre-octubre.",300.0,350.0,8.0,2,12,True,True,True,2022-08-15
11,Gran Tour Gastronómico Echaurren,gran-tour-echaurren,premium,gastronomia,"Visita a Echaurren Tradición (1 estrella Michelin) en Ezcaray: cocina en vivo con el chef, almuerzo de 6 pases con maridaje y traslado desde Logroño.",160.0,160.0,6.0,2,10,True,True,True,2023-03-01
12,Gran Tour Rioja 3 Días,gran-tour-rioja-3-dias,premium,combinada,"Itinerario completo: Haro, Laguardia, Leza, Logroño. 3 noches en hotel 4*, 4 bodegas, 2 restaurantes estrella Michelin, guía privado y transporte de lujo.",450.0,550.0,72.0,2,10,True,True,True,2023-06-01
