id,cliente_id,experiencia_id,empleado_id,fecha_reserva,fecha_experiencia,hora_inicio,num_personas,precio_unitario,descuento_pct,precio_total,canal_reserva,codigo_promo,estado,notas,fecha_actualizacion
1,1,1,3,2023-03-10 00:00:00+01:00,2023-03-15,10:00:00,2,24.99,0.0,49.98,web,,completada,,2026-04-02 10:48:57.246808+00:00
2,2,2,3,2023-03-18 00:00:00+01:00,2023-03-25,11:00:00,4,19.99,0.0,79.96,web,,completada,Grupo familiar,2026-04-02 10:48:57.246808+00:00
3,11,5,7,2023-04-05 00:00:00+02:00,2023-04-12,09:30:00,2,90.0,0.0,180.0,agencia,,completada,"Pareja francesa, EN",2026-04-02 10:48:57.246808+00:00
4,19,7,3,2023-04-10 00:00:00+02:00,2023-05-01,14:00:00,2,280.0,0.0,560.0,web,,completada,Aniversario,2026-04-02 10:48:57.246808+00:00
5,3,3,4,2023-04-20 00:00:00+02:00,2023-04-28,17:00:00,6,29.99,0.0,179.94,telefono,,completada,Despedida de soltero,2026-04-02 10:48:57.246808+00:00
6,20,9,7,2023-05-01 00:00:00+02:00,2023-05-15,19:00:00,2,250.0,0.0,500.0,web,,completada,Ejecutivos Madrid,2026-04-02 10:48:57.246808+00:00
7,4,8,3,2023-05-12 00:00:00+02:00,2023-05-20,20:30:00,4,195.0,0.0,780.0,agencia,,completada,Empresa tech Valencia,2026-04-02 10:48:57.246808+00:00
8,12,5,7,2023-05-20 00:00:00+02:00,2023-06-03,10:00:00,3,90.0,0.0,270.0,agencia,,completada,"Grupo alemán, EN",2026-04-02 10:48:57.246808+00:00
9,5,1,3,2023-06-01 00:00:00+02:00,2023-06-10,10:30:00,1,24.99,0.0,24.99,web,,completada,,2026-04-02 10:48:57.246808+00:00
10,21,11,7,2023-06-05 00:00:00+02:00,2023-06-18,13:00:00,2,160.0,0.0,320.0,presencial,,completada,Tour gastronómico Madrid,2026-04-02 10:48:57.246808+00:00
11,13,2,5,2023-06-10 00:00:00+02:00,2023-06-20,11:00:00,2,19.99,0.0,39.98,web,,completada,,2026-04-02 10:48:57.246808+00:00
12,6,6,4,2023-06-15 00:00:00+02:00,2023-06-25,18:00:00,2,60.0,0.0,120.0,redes_sociales,,completada,,2026-04-02 10:48:57.246808+00:00
13,19,10,3,2023-07-01 00:00:00+02:00,2023-09-15,08:00:00,2,300.0,0.0,600.0,web,,completada,Vendimia — reserva anticipada,2026-04-02 10:48:57.246808+00:00
14,7,4,4,2023-07-10 00:00:00+02:00,2023-07-20,10:00:00,2,75.0,0.0,150.0,web,,completada,,2026-04-02 10:48:57.246808+00:00
15,14,9,7,2023-07-15 00:00:00+02:00,2023-07-28,19:00:00,4,250.0,0.0,1000.0,agencia,,completada,"Grupo italiano, EN+IT",2026-04-02 10:48:57.246808+00:00
16,8,7,3,2023-07-20 00:00:00+02:00,2023-08-05,14:00:00,2,280.0,0.0,560.0,web,,completada,,2026-04-02 10:48:57.246808+00:00
17,22,12,7,2023-07-25 00:00:00+02:00,2023-08-10,09:00:00,2,450.0,0.0,900.0,agencia,,completada,Pareja lunamiel,2026-04-02 10:48:57.246808+00:00
18,16,8,3,2023-08-01 00:00:00+02:00,2023-08-15,20:30:00,2,195.0,0.0,390.0,agencia,,completada,"Cliente USA, EN",2026-04-02 10:48:57.246808+00:00
19,9,3,4,2023-08-05 00:00:00+02:00,2023-08-12,17:30:00,8,29.99,0.0,239.92,telefono,,completada,Grupo cumpleaños,2026-04-02 10:48:57.246808+00:00
20,10,5,7,2023-08-10 00:00:00+02:00,2023-08-20,09:30:00,2,90.0,0.0,180.0,web,,completada,Cliente San Sebastián,2026-04-02 10:48:57.246808+00:00
21,23,1,3,2023-08-15 00:00:00+02:00,2023-08-25,10:00:00,2,24.99,0.0,49.98,web,,cancelada,Cliente canceló por viaje,2026-04-02 10:48:57.246808+00:00
22,24,6,4,2023-09-01 00:00:00+02:00,2023-09-10,18:00:00,2,60.0,0.0,120.0,web,,no_show,Sin aviso previo,2026-04-02 10:48:57.246808+00:00
23,19,9,7,2023-09-05 00:00:00+02:00,2023-09-20,19:00:00,2,250.0,0.0,500.0,presencial,,completada,Segunda visita,2026-04-02 10:48:57.246808+00:00
24,20,10,3,2023-09-08 00:00:00+02:00,2023-10-01,08:00:00,4,300.0,0.0,1200.0,web,,completada,Vendimia grupo,2026-04-02 10:48:57.246808+00:00
25,15,5,7,2023-09-15 00:00:00+02:00,2023-09-28,10:00:00,2,90.0,0.0,180.0,agencia,,completada,"Pareja NL, EN",2026-04-02 10:48:57.246808+00:00
26,25,11,7,2023-10-05 00:00:00+02:00,2023-10-15,13:00:00,4,160.0,0.0,640.0,web,,completada,,2026-04-02 10:48:57.246808+00:00
27,17,12,7,2023-10-10 00:00:00+02:00,2023-10-25,09:00:00,2,450.0,0.0,900.0,agencia,,completada,"Cliente Japón, EN",2026-04-02 10:48:57.246808+00:00
28,1,3,4,2023-11-01 00:00:00+01:00,2023-11-10,17:30:00,3,29.99,0.0,89.97,web,,completada,Segunda visita,2026-04-02 10:48:57.246808+00:00
29,26,2,5,2023-11-10 00:00:00+01:00,2023-11-20,11:00:00,2,19.99,0.0,39.98,web,,completada,,2026-04-02 10:48:57.246808+00:00
30,21,8,3,2023-11-15 00:00:00+01:00,2023-11-25,20:30:00,2,195.0,0.0,390.0,web,,completada,,2026-04-02 10:48:57.246808+00:00
31,27,1,3,2024-01-20 00:00:00+01:00,2024-01-28,10:30:00,2,24.99,0.0,49.98,web,,completada,,2026-04-02 10:48:57.246808+00:00
32,18,5,7,2024-02-01 00:00:00+01:00,2024-02-14,10:00:00,2,90.0,0.0,180.0,redes_sociales,,completada,"San Valentín Brasil, EN",2026-04-02 10:48:57.246808+00:00
33,28,9,7,2024-02-10 00:00:00+01:00,2024-02-20,19:00:00,2,250.0,0.0,500.0,web,,completada,,2026-04-02 10:48:57.246808+00:00
34,19,7,3,2024-03-05 00:00:00+01:00,2024-03-20,14:00:00,2,280.0,0.0,560.0,web,,completada,Tercera visita,2026-04-02 10:48:57.246808+00:00
35,29,6,4,2024-03-15 00:00:00+01:00,2024-03-22,18:00:00,2,60.0,0.0,120.0,agencia,,completada,,2026-04-02 10:48:57.246808+00:00
36,2,8,3,2024-04-01 00:00:00+02:00,2024-04-10,20:30:00,2,195.0,0.0,390.0,web,,completada,Repetidor,2026-04-02 10:48:57.246808+00:00
37,30,11,7,2024-04-10 00:00:00+02:00,2024-04-20,13:00:00,4,160.0,0.0,640.0,web,,completada,,2026-04-02 10:48:57.246808+00:00
38,31,4,4,2024-05-01 00:00:00+02:00,2024-05-10,10:00:00,2,75.0,0.0,150.0,agencia,,completada,"Pareja Francia, FR",2026-04-02 10:48:57.246808+00:00
39,32,2,5,2024-05-10 00:00:00+02:00,2024-05-18,11:00:00,2,19.99,0.0,39.98,web,,completada,"Dinamarca, EN",2026-04-02 10:48:57.246808+00:00
40,20,12,7,2024-05-15 00:00:00+02:00,2024-06-01,09:00:00,4,450.0,0.0,1800.0,presencial,,completada,Tercer gran tour,2026-04-02 10:48:57.246808+00:00
41,26,1,3,2024-06-01 00:00:00+02:00,2024-06-10,10:00:00,2,24.99,15.0,42.48,qr_promo,JURADO2024,completada,Promo QR jurado,2026-04-02 10:48:57.246808+00:00
42,22,3,4,2024-06-05 00:00:00+02:00,2024-06-15,17:30:00,4,29.99,15.0,101.97,qr_promo,JURADO2024,completada,Promo QR jurado,2026-04-02 10:48:57.246808+00:00
43,33,9,7,2024-07-01 00:00:00+02:00,2024-07-15,19:00:00,2,250.0,0.0,500.0,web,,completada,Italia,2026-04-02 10:48:57.246808+00:00
44,3,10,3,2024-07-10 00:00:00+02:00,2024-09-20,08:00:00,2,300.0,0.0,600.0,web,,completada,Vendimia 2024,2026-04-02 10:48:57.246808+00:00
45,34,5,7,2024-07-15 00:00:00+02:00,2024-07-25,10:00:00,2,90.0,0.0,180.0,agencia,,completada,"Rumanía, EN",2026-04-02 10:48:57.246808+00:00
46,19,8,3,2024-08-01 00:00:00+02:00,2024-08-15,20:30:00,2,195.0,0.0,390.0,web,,completada,Cuarta visita,2026-04-02 10:48:57.246808+00:00
47,35,12,7,2024-08-10 00:00:00+02:00,2024-08-25,09:00:00,2,450.0,0.0,900.0,agencia,,completada,Japón gran tour,2026-04-02 10:48:57.246808+00:00
48,4,7,3,2024-09-01 00:00:00+02:00,2024-09-15,14:00:00,4,280.0,0.0,1120.0,agencia,,completada,Empresa Valencia,2026-04-02 10:48:57.246808+00:00
49,1,9,7,2025-01-10 00:00:00+01:00,2025-03-15,19:00:00,2,250.0,0.0,500.0,web,,confirmada,,2026-04-02 10:48:57.246808+00:00
50,27,7,3,2025-01-20 00:00:00+01:00,2025-04-01,14:00:00,2,280.0,0.0,560.0,web,,confirmada,,2026-04-02 10:48:57.246808+00:00
51,13,12,7,2025-02-05 00:00:00+01:00,2025-05-10,09:00:00,2,450.0,0.0,900.0,agencia,,confirmada,,2026-04-02 10:48:57.246808+00:00
52,28,3,4,2025-02-15 00:00:00+01:00,2025-03-22,17:30:00,4,29.99,0.0,119.96,web,,pendiente,,2026-04-02 10:48:57.246808+00:00
53,5,11,7,2025-03-01 00:00:00+01:00,2025-04-20,13:00:00,2,160.0,0.0,320.0,redes_sociales,,pendiente,,2026-04-02 10:48:57.246808+00:00
