id,reserva_id,fecha_pago,importe,metodo_pago,estado,referencia_externa,notas
1,1,2023-03-10 00:00:00+01:00,49.98,tarjeta,completado,ch_1A2B3C4D,
2,2,2023-03-18 00:00:00+01:00,79.96,tarjeta,completado,ch_2B3C4D5E,
3,3,2023-04-05 00:00:00+02:00,180.0,transferencia,completado,TRF-2304-001,
4,4,2023-04-10 00:00:00+02:00,280.0,tarjeta,completado,ch_3C4D5E6F,
5,4,2023-04-30 00:00:00+02:00,280.0,tarjeta,completado,ch_3C4D5E7G,
6,5,2023-04-20 00:00:00+02:00,179.94,tarjeta,completado,ch_4D5E6F7G,
7,6,2023-05-01 00:00:00+02:00,500.0,tarjeta,completado,ch_5E6F7G8H,
8,7,2023-05-12 00:00:00+02:00,780.0,transferencia,completado,TRF-2305-002,
9,8,2023-05-20 00:00:00+02:00,270.0,tarjeta,completado,ch_6F7G8H9I,
10,9,2023-06-01 00:00:00+02:00,24.99,bizum,completado,BIZ-2306-001,
11,10,2023-06-05 00:00:00+02:00,320.0,tarjeta,completado,ch_7G8H9I0J,
12,11,2023-06-10 00:00:00+02:00,39.98,tarjeta,completado,ch_8H9I0J1K,
13,12,2023-06-15 00:00:00+02:00,120.0,tarjeta,completado,ch_9I0J1K2L,
14,13,2023-07-01 00:00:00+02:00,300.0,tarjeta,completado,ch_0J1K2L3M,
15,13,2023-09-10 00:00:00+02:00,300.0,tarjeta,completado,ch_0J1K2L4N,
16,14,2023-07-10 00:00:00+02:00,150.0,tarjeta,completado,ch_1K2L3M4N,
17,15,2023-07-15 00:00:00+02:00,1000.0,transferencia,completado,TRF-2307-003,
18,16,2023-07-20 00:00:00+02:00,280.0,tarjeta,completado,ch_2L3M4N5O,
19,16,2023-08-01 00:00:00+02:00,280.0,tarjeta,completado,ch_2L3M4N6P,
20,17,2023-07-25 00:00:00+02:00,450.0,transferencia,completado,TRF-2307-004,
21,17,2023-08-05 00:00:00+02:00,450.0,transferencia,completado,TRF-2308-001,
22,18,2023-08-01 00:00:00+02:00,390.0,tarjeta,completado,ch_3M4N5O6P,
23,19,2023-08-05 00:00:00+02:00,239.92,efectivo,completado,,
24,20,2023-08-10 00:00:00+02:00,180.0,bizum,completado,BIZ-2308-002,
25,21,2023-08-15 00:00:00+02:00,49.98,tarjeta,reembolsado,ch_REF-0001,
26,22,2023-09-01 00:00:00+02:00,120.0,tarjeta,completado,ch_4N5O6P7Q,
27,23,2023-09-05 00:00:00+02:00,500.0,tarjeta,completado,ch_5O6P7Q8R,
28,24,2023-09-08 00:00:00+02:00,600.0,transferencia,completado,TRF-2309-002,
29,24,2023-09-30 00:00:00+02:00,600.0,transferencia,completado,TRF-2310-001,
30,25,2023-09-15 00:00:00+02:00,180.0,tarjeta,completado,ch_6P7Q8R9S,
31,26,2023-10-05 00:00:00+02:00,640.0,tarjeta,completado,ch_7Q8R9S0T,
32,27,2023-10-10 00:00:00+02:00,450.0,transferencia,completado,TRF-2310-002,
33,27,2023-10-20 00:00:00+02:00,450.0,transferencia,completado,TRF-2310-003,
34,28,2023-11-01 00:00:00+01:00,89.97,tarjeta,completado,ch_8R9S0T1U,
35,29,2023-11-10 00:00:00+01:00,39.98,tarjeta,completado,ch_9S0T1U2V,
36,30,2023-11-15 00:00:00+01:00,390.0,bizum,completado,BIZ-2311-001,
37,31,2024-01-20 00:00:00+01:00,49.98,tarjeta,completado,ch_0T1U2V3W,
38,32,2024-02-01 00:00:00+01:00,180.0,paypal,completado,PP-2402-001,
39,33,2024-02-10 00:00:00+01:00,500.0,tarjeta,completado,ch_1U2V3W4X,
40,34,2024-03-05 00:00:00+01:00,280.0,tarjeta,completado,ch_2V3W4X5Y,
41,34,2024-03-15 00:00:00+01:00,280.0,tarjeta,completado,ch_2V3W4X6Z,
42,35,2024-03-15 00:00:00+01:00,120.0,tarjeta,completado,ch_3W4X5Y6Z,
43,36,2024-04-01 00:00:00+02:00,390.0,tarjeta,completado,ch_4X5Y6Z7A,
44,37,2024-04-10 00:00:00+02:00,640.0,tarjeta,completado,ch_5Y6Z7A8B,
45,38,2024-05-01 00:00:00+02:00,150.0,tarjeta,completado,ch_6Z7A8B9C,
46,39,2024-05-10 00:00:00+02:00,39.98,bizum,completado,BIZ-2405-001,
47,40,2024-05-15 00:00:00+02:00,900.0,transferencia,completado,TRF-2405-001,
48,40,2024-05-20 00:00:00+02:00,900.0,transferencia,completado,TRF-2405-002,
49,41,2024-06-01 00:00:00+02:00,42.48,tarjeta,completado,ch_7A8B9C0D,
50,42,2024-06-05 00:00:00+02:00,101.97,tarjeta,completado,ch_8B9C0D1E,
51,43,2024-07-01 00:00:00+02:00,500.0,tarjeta,completado,ch_9C0D1E2F,
52,44,2024-07-10 00:00:00+02:00,300.0,transferencia,completado,TRF-2407-001,
53,44,2024-09-15 00:00:00+02:00,300.0,transferencia,completado,TRF-2409-001,
54,45,2024-07-15 00:00:00+02:00,180.0,paypal,completado,PP-2407-001,
55,46,2024-08-01 00:00:00+02:00,390.0,tarjeta,completado,ch_0D1E2F3G,
56,47,2024-08-10 00:00:00+02:00,450.0,transferencia,completado,TRF-2408-001,
57,47,2024-08-20 00:00:00+02:00,450.0,transferencia,completado,TRF-2408-002,
58,48,2024-09-01 00:00:00+02:00,560.0,tarjeta,completado,ch_1E2F3G4H,
59,48,2024-09-05 00:00:00+02:00,560.0,tarjeta,completado,ch_1E2F3G5I,
60,49,2025-01-10 00:00:00+01:00,250.0,tarjeta,completado,ch_2F3G4H5I,
61,50,2025-01-20 00:00:00+01:00,280.0,tarjeta,completado,ch_3G4H5I6J,
